date,gm1
03.11.2015,"208,3"
04.11.2015,"209,1"
05.11.2015,210
06.11.2015,"210,3"
09.11.2015,210
10.11.2015,"210,3"
11.11.2015,"209,6"
12.11.2015,"209,7"
13.11.2015,"209,1"
16.11.2015,"206,4"
17.11.2015,"206,4"
18.11.2015,"207,2"
19.11.2015,"209,6"
20.11.2015,"209,8"
23.11.2015,"211,4"
24.11.2015,"211,6"
25.11.2015,"211,6"
26.11.2015,"210,9"
27.11.2015,"211,9"
30.11.2015,"212,5"
01.12.2015,"211,7"
02.12.2015,"212,6"
03.12.2015,"212,3"
04.12.2015,"211,5"
07.12.2015,"208,2"
08.12.2015,"208,2"
09.12.2015,"207,6"
10.12.2015,"205,1"
11.12.2015,"204,4"
14.12.2015,203
15.12.2015,201
16.12.2015,"200,3"
17.12.2015,"203,6"
18.12.2015,204
21.12.2015,"203,9"
22.12.2015,"203,4"
23.12.2015,203
24.12.2015,203
25.12.2015,203
28.12.2015,"204,2"
29.12.2015,"204,4"
30.12.2015,205
31.12.2015,205
01.01.2016,205
04.01.2016,"205,6"
05.01.2016,204
06.01.2016,204
07.01.2016,201
08.01.2016,"198,5"
11.01.2016,"195,6"
12.01.2016,"194,1"
13.01.2016,"193,2"
14.01.2016,"193,3"
15.01.2016,"192,4"
18.01.2016,"189,9"
19.01.2016,"187,8"
20.01.2016,"187,6"
21.01.2016,"186,3"
22.01.2016,"184,1"
25.01.2016,"187,3"
26.01.2016,189
27.01.2016,"189,2"
28.01.2016,"189,8"
29.01.2016,"189,4"
01.02.2016,"190,7"
02.02.2016,"192,6"
03.02.2016,"191,2"
04.02.2016,"189,4"
05.02.2016,"187,6"
08.02.2016,187
09.02.2016,"186,1"
10.02.2016,"182,2"
11.02.2016,"180,5"
12.02.2016,"179,9"
15.02.2016,"179,2"
16.02.2016,"182,1"
17.02.2016,"184,4"
18.02.2016,"185,5"
19.02.2016,"188,2"
22.02.2016,"188,3"
23.02.2016,"189,3"
24.02.2016,"190,3"
25.02.2016,"189,3"
26.02.2016,"188,3"
29.02.2016,"189,4"
01.03.2016,"190,7"
02.03.2016,"192,3"
03.03.2016,"194,6"
04.03.2016,"195,9"
07.03.2016,"196,8"
08.03.2016,"197,4"
09.03.2016,196
10.03.2016,"195,4"
11.03.2016,"195,8"
14.03.2016,"194,9"
15.03.2016,"197,4"
16.03.2016,"197,5"
17.03.2016,"197,7"
18.03.2016,"196,8"
21.03.2016,"197,1"
22.03.2016,"198,3"
23.03.2016,"198,8"
24.03.2016,"198,4"
25.03.2016,"198,4"
28.03.2016,"198,4"
29.03.2016,"197,6"
30.03.2016,197
31.03.2016,"197,7"
01.04.2016,198
04.04.2016,197
05.04.2016,"196,6"
06.04.2016,"195,6"
07.04.2016,"194,6"
08.04.2016,195
11.04.2016,195
12.04.2016,196
13.04.2016,"196,9"
14.04.2016,"199,2"
15.04.2016,"201,4"
18.04.2016,"201,3"
19.04.2016,"201,1"
20.04.2016,"202,2"
21.04.2016,"203,2"
22.04.2016,"203,8"
25.04.2016,"204,2"
26.04.2016,"203,5"
27.04.2016,"202,8"
28.04.2016,203
29.04.2016,"202,6"
02.05.2016,"201,8"
03.05.2016,"200,9"
04.05.2016,"199,5"
05.05.2016,"199,5"
06.05.2016,"197,3"
09.05.2016,"197,8"
